lead_id,email,company_name,created_date,converted,deal_size,close_date,sales_cycle_days
CRM-00000,contact0@company0.com,Company 0,2025-11-01 23:24:28.945460,0,0.0,,
CRM-00001,contact1@company1.com,Company 1,2024-12-03 23:24:28.945460,0,0.0,,
CRM-00002,contact2@company2.com,Company 2,2025-05-17 23:24:28.945460,0,0.0,,
CRM-00003,contact3@company3.com,Company 3,2025-10-28 23:24:28.945460,0,0.0,,
CRM-00004,contact4@company4.com,Company 4,2025-12-02 23:24:28.945460,0,0.0,,
CRM-00005,contact5@company5.com,Company 5,2026-01-22 23:24:28.945460,0,0.0,,
CRM-00006,contact6@company6.com,Company 6,2024-06-07 23:24:28.945460,0,0.0,,
CRM-00007,contact7@company7.com,Company 7,2025-10-13 23:24:28.945460,1,37447139.48,2026-01-22 23:24:28.945460,101.0
CRM-00008,contact8@company8.com,Company 8,2024-11-02 23:24:28.945460,1,6680708.77,2025-02-06 23:24:28.945460,96.0
CRM-00009,contact9@company9.com,Company 9,2025-07-12 23:24:28.945460,0,0.0,,
CRM-00010,contact10@company10.com,Company 10,2025-03-18 23:24:28.945460,0,0.0,,
CRM-00011,contact11@company11.com,Company 11,2024-11-10 23:24:28.945460,0,0.0,,
CRM-00012,contact12@company12.com,Company 12,2025-11-16 23:24:28.945460,0,0.0,,
CRM-00013,contact13@company13.com,Company 13,2025-02-04 23:24:28.945460,0,0.0,,
CRM-00014,contact14@company14.com,Company 14,2025-11-04 23:24:28.945460,0,0.0,,
CRM-00015,contact15@company15.com,Company 15,2024-04-19 23:24:28.945460,0,0.0,,
CRM-00016,contact16@company16.com,Company 16,2025-10-04 23:24:28.945460,0,0.0,,
CRM-00017,contact17@company17.com,Company 17,2024-04-21 23:24:28.945460,0,0.0,,
CRM-00018,contact18@company18.com,Company 18,2025-04-09 23:24:28.945460,1,4760369.6,2025-05-15 23:24:28.945460,36.0
CRM-00019,contact19@company19.com,Company 19,2025-03-05 23:24:28.945460,0,0.0,,
CRM-00020,contact20@company20.com,Company 20,2024-10-08 23:24:28.945460,0,0.0,,
CRM-00021,contact21@company21.com,Company 21,2024-12-25 23:24:28.945460,0,0.0,,
CRM-00022,contact22@company22.com,Company 22,2025-01-22 23:24:28.945460,1,12324698.52,2025-07-17 23:24:28.945460,176.0
CRM-00023,contact23@company23.com,Company 23,2025-08-04 23:24:28.945460,0,0.0,,
CRM-00024,contact24@company24.com,Company 24,2025-05-11 23:24:28.945460,0,0.0,,
CRM-00025,contact25@company25.com,Company 25,2025-09-04 23:24:28.945460,0,0.0,,
CRM-00026,contact26@company26.com,Company 26,2024-11-09 23:24:28.945460,0,0.0,,
CRM-00027,contact27@company27.com,Company 27,2025-04-04 23:24:28.945460,0,0.0,,
CRM-00028,contact28@company28.com,Company 28,2026-01-21 23:24:28.945460,1,176119815.09,2026-07-09 23:24:28.945460,169.0
CRM-00029,contact29@company29.com,Company 29,2025-06-04 23:24:28.945460,0,0.0,,
CRM-00030,contact30@company30.com,Company 30,2024-07-31 23:24:28.945460,0,0.0,,
CRM-00031,contact31@company31.com,Company 31,2024-10-25 23:24:28.945460,0,0.0,,
CRM-00032,contact32@company32.com,Company 32,2025-12-15 23:24:28.945460,0,0.0,,
CRM-00033,contact33@company33.com,Company 33,2024-09-19 23:24:28.945460,0,0.0,,
CRM-00034,contact34@company34.com,Company 34,2024-04-01 23:24:28.945460,1,4430516.93,2024-07-25 23:24:28.945460,115.0
CRM-00035,contact35@company35.com,Company 35,2024-10-24 23:24:28.945460,0,0.0,,
CRM-00036,contact36@company36.com,Company 36,2024-03-14 23:24:28.945460,1,51091177.37,2024-08-18 23:24:28.945460,157.0
CRM-00037,contact37@company37.com,Company 37,2025-08-06 23:24:28.945460,1,38034990.53,2025-12-27 23:24:28.945460,143.0
CRM-00038,contact38@company38.com,Company 38,2024-03-27 23:24:28.945460,1,52541684.43,2024-05-20 23:24:28.945460,54.0
CRM-00039,contact39@company39.com,Company 39,2024-07-29 23:24:28.945460,1,4664789.22,2024-09-18 23:24:28.945460,51.0
CRM-00040,contact40@company40.com,Company 40,2024-07-25 23:24:28.945460,0,0.0,,
CRM-00041,contact41@company41.com,Company 41,2025-06-13 23:24:28.945460,0,0.0,,
CRM-00042,contact42@company42.com,Company 42,2024-09-25 23:24:28.945460,0,0.0,,
CRM-00043,contact43@company43.com,Company 43,2025-10-04 23:24:28.945460,1,5138355.76,2025-11-19 23:24:28.945460,46.0
CRM-00044,contact44@company44.com,Company 44,2024-10-15 23:24:28.945460,0,0.0,,
CRM-00045,contact45@company45.com,Company 45,2024-05-06 23:24:28.945460,0,0.0,,
CRM-00046,contact46@company46.com,Company 46,2026-01-22 23:24:28.945460,0,0.0,,
CRM-00047,contact47@company47.com,Company 47,2025-08-29 23:24:28.945460,1,70420267.15,2025-12-22 23:24:28.945460,115.0
CRM-00048,contact48@company48.com,Company 48,2025-05-14 23:24:28.945460,1,253885875.05,2025-08-04 23:24:28.945460,82.0
CRM-00049,contact49@company49.com,Company 49,2025-01-20 23:24:28.945460,1,239089577.59,2025-07-13 23:24:28.945460,174.0
CRM-00050,contact50@company0.com,Company 50,2024-06-21 23:24:28.945460,0,0.0,,
CRM-00051,contact51@company1.com,Company 51,2025-04-02 23:24:28.945460,0,0.0,,
CRM-00052,contact52@company2.com,Company 52,2026-01-29 23:24:28.945460,0,0.0,,
CRM-00053,contact53@company3.com,Company 53,2025-06-15 23:24:28.945460,1,67588344.23,2025-09-03 23:24:28.945460,80.0
CRM-00054,contact54@company4.com,Company 54,2025-03-03 23:24:28.945460,1,15200862.13,2025-07-25 23:24:28.945460,144.0
CRM-00055,contact55@company5.com,Company 55,2024-07-27 23:24:28.945460,1,5832387.47,2024-12-16 23:24:28.945460,142.0
CRM-00056,contact56@company6.com,Company 56,2025-03-09 23:24:28.945460,0,0.0,,
CRM-00057,contact57@company7.com,Company 57,2025-11-12 23:24:28.945460,0,0.0,,
CRM-00058,contact58@company8.com,Company 58,2025-02-10 23:24:28.945460,0,0.0,,
CRM-00059,contact59@company9.com,Company 59,2024-11-14 23:24:28.945460,0,0.0,,
CRM-00060,contact60@company10.com,Company 60,2024-12-11 23:24:28.945460,0,0.0,,
CRM-00061,contact61@company11.com,Company 61,2024-09-21 23:24:28.945460,1,13931017.99,2024-12-15 23:24:28.945460,85.0
CRM-00062,contact62@company12.com,Company 62,2026-01-08 23:24:28.945460,1,18201050.82,2026-05-26 23:24:28.945460,138.0
CRM-00063,contact63@company13.com,Company 63,2025-07-21 23:24:28.945460,1,42041469.43,2025-10-31 23:24:28.945460,102.0
CRM-00064,contact64@company14.com,Company 64,2025-11-23 23:24:28.945460,1,34822319.02,2026-04-05 23:24:28.945460,133.0
CRM-00065,contact65@company15.com,Company 65,2024-07-30 23:24:28.945460,0,0.0,,
CRM-00066,contact66@company16.com,Company 66,2025-01-20 23:24:28.945460,1,304054050.65,2025-06-29 23:24:28.945460,160.0
CRM-00067,contact67@company17.com,Company 67,2026-02-10 23:24:28.945460,1,118523586.29,2026-04-29 23:24:28.945460,78.0
CRM-00068,contact68@company18.com,Company 68,2025-01-18 23:24:28.945460,1,17794461.61,2025-05-01 23:24:28.945460,103.0
CRM-00069,contact69@company19.com,Company 69,2024-07-26 23:24:28.945460,0,0.0,,
CRM-00070,contact70@company20.com,Company 70,2025-10-29 23:24:28.945460,0,0.0,,
CRM-00071,contact71@company21.com,Company 71,2024-10-23 23:24:28.945460,1,169640986.82,2025-03-19 23:24:28.945460,147.0
CRM-00072,contact72@company22.com,Company 72,2025-01-06 23:24:28.945460,0,0.0,,
CRM-00073,contact73@company23.com,Company 73,2024-08-05 23:24:28.945460,0,0.0,,
CRM-00074,contact74@company24.com,Company 74,2025-09-03 23:24:28.945460,0,0.0,,
CRM-00075,contact75@company25.com,Company 75,2025-07-25 23:24:28.945460,0,0.0,,
CRM-00076,contact76@company26.com,Company 76,2025-05-18 23:24:28.945460,0,0.0,,
CRM-00077,contact77@company27.com,Company 77,2025-05-17 23:24:28.945460,1,83020549.78,2025-07-11 23:24:28.945460,55.0
CRM-00078,contact78@company28.com,Company 78,2024-11-13 23:24:28.945460,1,60811966.31,2025-01-07 23:24:28.945460,55.0
CRM-00079,contact79@company29.com,Company 79,2024-11-07 23:24:28.945460,0,0.0,,
CRM-00080,contact80@company30.com,Company 80,2025-06-05 23:24:28.945460,0,0.0,,
CRM-00081,contact81@company31.com,Company 81,2025-04-22 23:24:28.945460,1,46593914.65,2025-09-15 23:24:28.945460,146.0
CRM-00082,contact82@company32.com,Company 82,2025-03-11 23:24:28.945460,0,0.0,,
CRM-00083,contact83@company33.com,Company 83,2025-12-21 23:24:28.945460,1,28704145.75,2026-04-11 23:24:28.945460,111.0
CRM-00084,contact84@company34.com,Company 84,2025-07-10 23:24:28.945460,0,0.0,,
CRM-00085,contact85@company35.com,Company 85,2025-08-08 23:24:28.945460,1,11423535.09,2026-01-30 23:24:28.945460,175.0
CRM-00086,contact86@company36.com,Company 86,2025-01-28 23:24:28.945460,0,0.0,,
CRM-00087,contact87@company37.com,Company 87,2024-10-07 23:24:28.945460,0,0.0,,
CRM-00088,contact88@company38.com,Company 88,2026-01-02 23:24:28.945460,0,0.0,,
CRM-00089,contact89@company39.com,Company 89,2025-09-08 23:24:28.945460,0,0.0,,
CRM-00090,contact90@company40.com,Company 90,2026-01-28 23:24:28.945460,0,0.0,,
CRM-00091,contact91@company41.com,Company 91,2025-12-09 23:24:28.945460,0,0.0,,
CRM-00092,contact92@company42.com,Company 92,2024-09-09 23:24:28.945460,0,0.0,,
CRM-00093,contact93@company43.com,Company 93,2025-03-05 23:24:28.945460,0,0.0,,
CRM-00094,contact94@company44.com,Company 94,2025-10-06 23:24:28.945460,0,0.0,,
CRM-00095,contact95@company45.com,Company 95,2024-05-05 23:24:28.945460,0,0.0,,
CRM-00096,contact96@company46.com,Company 96,2024-10-28 23:24:28.945460,0,0.0,,
CRM-00097,contact97@company47.com,Company 97,2025-12-11 23:24:28.945460,0,0.0,,
CRM-00098,contact98@company48.com,Company 98,2025-09-26 23:24:28.945460,0,0.0,,
CRM-00099,contact99@company49.com,Company 99,2024-10-01 23:24:28.945460,0,0.0,,
CRM-00100,contact100@company0.com,Company 0,2024-06-29 23:24:28.945460,0,0.0,,
CRM-00101,contact101@company1.com,Company 1,2025-01-16 23:24:28.945460,0,0.0,,
CRM-00102,contact102@company2.com,Company 2,2024-04-08 23:24:28.945460,0,0.0,,
CRM-00103,contact103@company3.com,Company 3,2024-12-20 23:24:28.945460,0,0.0,,
CRM-00104,contact104@company4.com,Company 4,2025-04-29 23:24:28.945460,0,0.0,,
CRM-00105,contact105@company5.com,Company 5,2025-01-29 23:24:28.945460,0,0.0,,
CRM-00106,contact106@company6.com,Company 6,2024-10-10 23:24:28.945460,0,0.0,,
CRM-00107,contact107@company7.com,Company 7,2025-06-26 23:24:28.945460,1,21478360.01,2025-10-29 23:24:28.945460,125.0
CRM-00108,contact108@company8.com,Company 8,2026-01-02 23:24:28.945460,0,0.0,,
CRM-00109,contact109@company9.com,Company 9,2026-01-15 23:24:28.945460,0,0.0,,
CRM-00110,contact110@company10.com,Company 10,2025-09-30 23:24:28.945460,0,0.0,,
CRM-00111,contact111@company11.com,Company 11,2025-07-26 23:24:28.945460,0,0.0,,
CRM-00112,contact112@company12.com,Company 12,2026-01-10 23:24:28.945460,0,0.0,,
CRM-00113,contact113@company13.com,Company 13,2025-12-26 23:24:28.945460,0,0.0,,
CRM-00114,contact114@company14.com,Company 14,2024-09-27 23:24:28.945460,0,0.0,,
CRM-00115,contact115@company15.com,Company 15,2025-01-01 23:24:28.945460,0,0.0,,
CRM-00116,contact116@company16.com,Company 16,2024-07-18 23:24:28.945460,0,0.0,,
CRM-00117,contact117@company17.com,Company 17,2025-11-05 23:24:28.945460,0,0.0,,
CRM-00118,contact118@company18.com,Company 18,2024-03-30 23:24:28.945460,0,0.0,,
CRM-00119,contact119@company19.com,Company 19,2024-08-14 23:24:28.945460,0,0.0,,
CRM-00120,contact120@company20.com,Company 20,2024-06-09 23:24:28.945460,0,0.0,,
CRM-00121,contact121@company21.com,Company 21,2024-11-07 23:24:28.945460,1,8746403.67,2024-12-09 23:24:28.945460,32.0
CRM-00122,contact122@company22.com,Company 22,2024-05-10 23:24:28.945460,0,0.0,,
CRM-00123,contact123@company23.com,Company 23,2026-02-07 23:24:28.945460,0,0.0,,
CRM-00124,contact124@company24.com,Company 24,2025-07-09 23:24:28.945460,0,0.0,,
CRM-00125,contact125@company25.com,Company 25,2024-09-27 23:24:28.945460,0,0.0,,
CRM-00126,contact126@company26.com,Company 26,2025-01-10 23:24:28.945460,0,0.0,,
CRM-00127,contact127@company27.com,Company 27,2025-01-15 23:24:28.945460,0,0.0,,
CRM-00128,contact128@company28.com,Company 28,2025-07-20 23:24:28.945460,0,0.0,,
CRM-00129,contact129@company29.com,Company 29,2026-01-28 23:24:28.945460,1,27062829.44,2026-07-16 23:24:28.945460,169.0
CRM-00130,contact130@company30.com,Company 30,2024-08-07 23:24:28.945460,0,0.0,,
CRM-00131,contact131@company31.com,Company 31,2024-11-08 23:24:28.945460,0,0.0,,
CRM-00132,contact132@company32.com,Company 32,2024-03-23 23:24:28.945460,1,12584375.78,2024-08-23 23:24:28.945460,153.0
CRM-00133,contact133@company33.com,Company 33,2024-07-17 23:24:28.945460,0,0.0,,
CRM-00134,contact134@company34.com,Company 34,2025-06-16 23:24:28.945460,0,0.0,,
CRM-00135,contact135@company35.com,Company 35,2024-07-28 23:24:28.945460,0,0.0,,
CRM-00136,contact136@company36.com,Company 36,2025-11-08 23:24:28.945460,0,0.0,,
CRM-00137,contact137@company37.com,Company 37,2024-10-15 23:24:28.945460,0,0.0,,
CRM-00138,contact138@company38.com,Company 38,2025-01-01 23:24:28.945460,1,44344441.61,2025-05-27 23:24:28.945460,146.0
CRM-00139,contact139@company39.com,Company 39,2025-06-26 23:24:28.945460,0,0.0,,
CRM-00140,contact140@company40.com,Company 40,2024-04-28 23:24:28.945460,1,65574456.52,2024-09-11 23:24:28.945460,136.0
CRM-00141,contact141@company41.com,Company 41,2025-08-25 23:24:28.945460,1,17192548.95,2025-09-26 23:24:28.945460,32.0
CRM-00142,contact142@company42.com,Company 42,2024-08-20 23:24:28.945460,0,0.0,,
CRM-00143,contact143@company43.com,Company 43,2026-01-07 23:24:28.945460,0,0.0,,
CRM-00144,contact144@company44.com,Company 44,2024-09-05 23:24:28.945460,0,0.0,,
CRM-00145,contact145@company45.com,Company 45,2025-09-05 23:24:28.945460,1,18646755.78,2025-10-13 23:24:28.945460,38.0
CRM-00146,contact146@company46.com,Company 46,2024-03-15 23:24:28.945460,0,0.0,,
CRM-00147,contact147@company47.com,Company 47,2025-06-14 23:24:28.945460,0,0.0,,
CRM-00148,contact148@company48.com,Company 48,2025-11-18 23:24:28.945460,1,199706705.68,2026-02-17 23:24:28.945460,91.0
CRM-00149,contact149@company49.com,Company 49,2024-07-14 23:24:28.945460,0,0.0,,
CRM-00150,contact150@company0.com,Company 50,2024-04-01 23:24:28.945460,0,0.0,,
CRM-00151,contact151@company1.com,Company 51,2024-08-04 23:24:28.945460,0,0.0,,
CRM-00152,contact152@company2.com,Company 52,2024-07-18 23:24:28.945460,0,0.0,,
CRM-00153,contact153@company3.com,Company 53,2024-05-07 23:24:28.945460,0,0.0,,
CRM-00154,contact154@company4.com,Company 54,2026-01-15 23:24:28.945460,1,18308202.23,2026-04-22 23:24:28.945460,97.0
CRM-00155,contact155@company5.com,Company 55,2024-06-02 23:24:28.945460,0,0.0,,
CRM-00156,contact156@company6.com,Company 56,2024-08-05 23:24:28.945460,1,23504753.82,2024-10-02 23:24:28.945460,58.0
CRM-00157,contact157@company7.com,Company 57,2025-03-09 23:24:28.945460,0,0.0,,
CRM-00158,contact158@company8.com,Company 58,2025-03-18 23:24:28.945460,0,0.0,,
CRM-00159,contact159@company9.com,Company 59,2024-05-13 23:24:28.945460,0,0.0,,
CRM-00160,contact160@company10.com,Company 60,2024-09-24 23:24:28.945460,0,0.0,,
CRM-00161,contact161@company11.com,Company 61,2025-03-01 23:24:28.945460,0,0.0,,
CRM-00162,contact162@company12.com,Company 62,2024-10-27 23:24:28.945460,0,0.0,,
CRM-00163,contact163@company13.com,Company 63,2025-06-26 23:24:28.945460,1,73171439.38,2025-11-26 23:24:28.945460,153.0
CRM-00164,contact164@company14.com,Company 64,2025-08-06 23:24:28.945460,0,0.0,,
